Company,Main legal work,Latest located round or transaction,Total and treatment,Profile anchor
Harvey,"Broad legal research, transactions, litigation","$550M; Sep 9, 2026",>$1.55B reported; cumulative sum not independently reconstructed,company-harvey
Legora (formerly Leya),"Research, drafting, diligence, litigation",$550M Series D; Mar 2026; reported $50M extension Apr,>$850M reported,company-legora-formerly-leya
Ivo,"Commercial contracts, privacy terms, contract intelligence",$55M Series B; Jan 2026,About $75M,company-ivo
Spellbook,Contract drafting and review in Word,$50M Series B; Oct 2025,About $80.9M equity estimate; separate $40M debt facility Mar 2026,company-spellbook
Clio,Firm operations plus research and legal drafting,$500M Series G; Nov 2025,>$1.7B reported financing; $350M debt facility separate; $1B vLex purchase is acquisition spend,company-clio
EvenUp,Personal-injury case preparation,$150M Series E; Oct 2025,$385M,company-evenup
Thomson Reuters,Legal research content and CoCounsel workflows,Public company; venture rounds not applicable,Not comparable; $650M Casetext acquisition is separate,company-thomson-reuters
Luminance,"Contracts, diligence, investigations",$75M Series C; Feb 2025,$165M reported,company-luminance
Ironclad,Contract lifecycle and obligations,$150M Series E; Jan 2022,$333M,company-ironclad
Lexroom,"Civil-law research, drafting, litigation",$50M Series B; May 2026,$73M,company-lexroom
Eve,Plaintiff personal-injury and employment work,$103M Series B; Sep 2025,$164M reported,company-eve
DeepJudge,Search and workflows over internal legal knowledge,$41.2M Series A; Nov 2025,At least $51.9M disclosed rounds,company-deepjudge
Wordsmith,"In-house agents, privacy, contracts, compliance",$70M Series B Jun 2026; $14M extension Aug,At least $114M,company-wordsmith
Crosby,Attorney-delivered commercial contracts,$60M Series B; Mar 2026,At least $85.8M disclosed rounds,company-crosby
Carta / Carta Law,Private-capital legal and compliance work,Parent $500M Series G Aug 2021; Avantia acquired May 2026,Parent about $1.16B database estimate; Carta Law allocation and purchase price undisclosed,company-carta-carta-law
Lawhive,Consumer and small-business legal services,$60M Series B; Feb 2026,At least $111.9M plus £1.3M pre-seed; currencies not combined,company-lawhive
Garfield AI / Garfield.Law,England/Wales small-debt claims,No public round located,Not disclosed,company-garfield-ai-garfield-law
Moritz (moritzlegal.com),"Commercial, privacy, corporate and other company work",$9M seed reported May 2026,$9M disclosed,company-moritz-moritzlegal-com
Norm Ai / Norm Law,Regulatory agents and affiliated legal services,"$120M Series C announced Jul 7, 2026",>$260M company-stated,company-norm-ai-norm-law
General Legal,"US company contracts, privacy and regulation",$11.5M combined pre-seed/seed; Mar 2026,$11.5M disclosed,company-general-legal
Eudia,Enterprise legal platform and legal services,Up to $105M Series A; Feb 2025,Up to $105M commitment; funded cash not fully established,company-eudia
LegalOS (legalos.ai),US employment-based immigration petitions,YC Winter 2026; no company-specific round amount,Not disclosed,company-legalos-legalos-ai
